7-57|5-63
7-65|4-71
4-72|4-79
4-80|4-87
7-92|4-88
7-100|6-96
15-43|11-47
15-44|14-40
8-55|10-48
8-103|8-97
8-104|11-111
15-113|11-112
15-113|15-118
11-112|15-118
18-39|20-32
16-112|16-119
16-120|23-121
16-120|23-127
23-121|23-127
24-31|27-24
24-31|31-24
27-24|31-24
31-106|26-111
31-106|31-110
26-111|31-110
26-112|26-119
26-112|30-112
26-119|30-112
25-120|25-127
24-128|27-135
24-128|31-135
27-135|31-135
32-23|38-16
33-104|39-107
33-104|32-109
39-107|32-109
32-136|39-140
40-15|47-11
40-15|44-15
47-11|44-15
47-102|40-102
47-107|40-107
47-139|42-143
47-139|46-143
42-143|46-143
47-147|43-144
55-10|48-11
48-47|55-43
48-48|48-55
48-56|49-63
48-65|55-71
55-89|55-93
49-103|52-96
52-103|48-102
51-104|51-111
48-107|52-104
51-112|55-117
55-124|54-120
55-138|48-139
48-145|55-148
57-7|63-6
56-8|61-8
63-33|56-36
56-42|61-40
56-72|63-75
56-72|60-79
63-75|60-79
56-87|60-80
57-88|56-92
56-120|57-127
56-124|60-127
63-130|58-128
63-130|58-135
58-128|58-135
56-143|60-143
57-144|63-146
57-144|56-148
63-146|56-148
64-7|71-4
71-33|64-33
64-40|71-41
71-73|64-79
71-73|67-72
64-79|67-72
67-103|70-96
67-104|68-111
65-135|64-131
65-135|69-135
64-131|69-135
71-138|66-136
64-144|71-147
79-3|72-4
72-33|79-35
72-41|79-45
73-71|79-67
79-89|72-93
72-113|76-112
72-136|79-140
72-147|79-151
87-3|80-3
80-35|84-39
81-48|84-55
84-56|84-63
87-67|80-67
83-64|80-69
80-89|87-93
84-96|83-103
80-111|82-104
80-112|87-113
80-112|87-119
87-113|87-119
87-140|80-140
80-151|87-150
88-3|95-6
88-23|95-21
88-42|90-47
90-48|91-55
89-63|91-56
89-64|95-66
88-95|95-94
95-97|90-96
95-97|90-103
95-97|94-103
90-96|90-103
90-96|94-103
90-103|94-103
95-105|89-111
95-105|91-104
89-111|91-104
88-112|95-113
88-112|88-116
95-113|88-116
88-120|95-123
88-120|95-127
95-123|95-127
95-129|95-134
95-138|88-140
95-150|88-150
97-7|103-7
103-10|99-8
96-23|103-19
96-23|100-23
103-19|100-23
96-66|103-67
96-95|100-95
103-97|96-97
103-97|96-101
96-97|98-103
97-104|96-111
97-128|97-135
103-150|96-150
104-8|107-15
104-8|111-13
107-15|111-13
106-16|104-21
104-67|111-69
104-95|111-93
104-97|108-96
104-151|111-148
112-15|116-15
113-16|119-18
112-73|119-77
119-81|119-85
112-95|116-88
119-147|112-147
120-16|127-20
121-143|127-142
120-144|124-144
128-24|135-27
132-24|135-30
135-137|128-139
137-32|143-36
143-129|136-135
144-41|150-47
151-49|151-54
151-113|147-119
151-113|151-117
147-119|151-117
144-127|146-120
144-123|149-120
152-50|154-55
152-56|154-63
157-64|156-71
159-74|159-78
159-81|159-85
159-89|156-95
154-103|156-96
154-104|153-111
